m,x,y,z,vx,vy,vz
9.999999999999999547e-08,-2.353601675440136987e+01,-1.206225576260250065e+01,-7.375824064162628257e-01,4.793184642948184471e-01,-1.151223057171885555e+00,-7.216601080117489297e-02
9.999999999999999547e-08,-2.808651831712787938e+01,4.569886701049497013e+00,1.065684164251252675e+00,-1.446494231216541582e-01,-1.157991520034395538e+00,3.373914748677438874e-02
9.999999999999999547e-08,-1.659216535259810144e+01,-1.818441740676688401e+00,-1.017404742265743511e+00,1.451160460352913795e-01,-1.453499745487194517e+00,-4.428289628375056686e-02
9.999999999999999547e-08,-1.090842658939373599e+00,1.178580577101742355e+00,7.076323340407648932e-02,-3.709415719647365162e+00,-3.354264884876750230e+00,4.797334277978383688e-02
9.999999999999999547e-08,-1.622565547270335529e+01,1.435028693864840577e+01,1.804551811080140275e-02,-8.994482724098745718e-01,-1.016216549401401270e+00,5.664905959085941335e-03
9.999999999999999547e-08,1.238943826786924607e+00,-1.017644178952837208e+01,-2.303760854504353361e-01,1.999638867247906182e+00,2.201963326752033323e-01,4.684232634643515671e-03
9.999999999999999547e-08,2.202857428944689744e+01,3.439639012659678752e+00,2.119565205309388925e-02,-2.211012130885804672e-01,1.244777519208003058e+00,1.258490893200654714e-01
9.999999999999999547e-08,-2.063070650544608853e+01,-3.864773448451689575e+01,-2.459868173427851301e-01,8.330941644399716406e-01,-4.269398475418608174e-01,-3.186819710395415867e-02
9.999999999999999547e-08,-8.318844264193172577e+00,-9.047988035882694291e+00,-7.436840859390694836e-02,1.207275395301786514e+00,-1.268815664830728940e+00,-5.648684945935530943e-02
9.999999999999999547e-08,1.136369231518677525e+00,-2.737565353435924109e+00,4.062341916802237468e-02,3.406676872838219516e+00,1.382183569313824467e+00,-2.443341959768881647e-02
9.999999999999999547e-08,-1.296265251225902482e+01,2.211177499980398586e+00,-5.773873938091916846e-01,-2.439053720152001004e-01,-1.767194982169794315e+00,-1.557918165221336693e-01
9.999999999999999547e-08,-1.480559285374290823e+01,-4.297706334335588352e+00,8.767727447063219937e-02,3.864163866807912573e-01,-1.514724148367576850e+00,-3.460906237013553627e-02
9.999999999999999547e-08,1.093305070331103934e+01,-3.181323329930000554e+01,-8.923369045979809844e-01,1.017629182256113207e+00,3.392649771123345537e-01,6.312267038438527933e-02
9.999999999999999547e-08,1.359629435502923478e+01,2.595312080967088164e+01,-3.900846717679564563e-03,-9.737621798642928095e-01,5.756695010411394531e-01,-4.755649919356834399e-03
9.999999999999999547e-08,-2.815374161943446651e+01,2.336267606964191401e+01,2.391267077531011864e-01,-7.051908931018674442e-01,-8.087850707623235325e-01,1.469208809250282730e-03
9.999999999999999547e-08,-3.340441218277627655e+01,-2.568716274424771129e+00,2.369579181081298724e+00,1.377371654159827430e-01,-1.069764371472177178e+00,9.395162887760879003e-03
9.999999999999999547e-08,-1.849735614943288908e+01,8.985199779175427892e+00,1.301201283252538587e+00,-5.765437429691600002e-01,-1.249849111850236394e+00,7.126623960867692169e-03
9.999999999999999547e-08,2.034670080366782940e+01,3.489394877048654564e+01,1.924992255950757292e+00,-8.486255889568016242e-01,5.104256340305282080e-01,-4.755762731735432153e-02
9.999999999999999547e-08,-7.904048870011569639e-01,8.411711509798879050e+00,-4.831382749084311284e-02,-2.158849838382863595e+00,4.440423445489435038e-03,-4.927894953565106068e-02
9.999999999999999547e-08,8.585542843686512215e-01,9.833524413187937352e-01,-1.124975498419755610e-01,-4.054708957568547767e+00,3.426401483701228656e+00,2.639559411748781947e-01
