# t_yr,a_AU,e,n_radyr,RL1_AU,RL2_AU,Ls1,Ls2,Jorb,Jtot,Omega1,Omega2,MB_saturated(super=1),super_synchronous(1),da_dt_AU_per_yr
2.929883138564273850e+03,6.868787774370230248e-02,9.241988882815954653e-02,4.935995089512856566e+02,2.602724624109708021e-02,2.602724624109708021e-02,4.923339498862483704e-05,4.901578540518317545e-05,1.159423780732635745e+00,1.159522029913029550e+00,2.276494481372435175e+01,2.266432469278547401e+01,0.000000000000000000e+00,0.000000000000000000e+00,-4.964287946416599343e-07
2.938230383973289008e+03,6.868373533644180073e-02,9.239706472765178702e-02,4.936441640870793890e+02,2.602567659799059213e-02,2.602567659799059213e-02,4.916341942930097978e-05,4.894673232015188874e-05,1.159391285497906265e+00,1.159489395649655696e+00,2.273258893522592317e+01,2.263239535558827598e+01,0.000000000000000000e+00,0.000000000000000000e+00,-4.962603898081012018e-07
2.946577629382304167e+03,6.867959097352913100e-02,9.237414578070708704e-02,4.936888470430999405e+02,2.602410621384736861e-02,2.602410621384736861e-02,4.909374073379946528e-05,4.887796960845887091e-05,1.159358782184324088e+00,1.159456753894666292e+00,2.270037032307962122e+01,2.260060028361943907e+01,0.000000000000000000e+00,0.000000000000000000e+00,-4.964946769378257629e-07
2.954924874791318871e+03,6.867544257565040555e-02,9.235106515691650364e-02,4.937335802537664904e+02,2.602253430077271223e-02,2.602253430077271223e-02,4.902435826541966750e-05,4.880949667807068067e-05,1.159326260447685941e+00,1.159424094302629493e+00,2.266828868288253318e+01,2.256893920312963431e+01,0.000000000000000000e+00,0.000000000000000000e+00,-4.969780658713281973e-07
2.963272120200334030e+03,6.867129265572409491e-02,9.232801393735126649e-02,4.937783366366493283e+02,2.602096181096299685e-02,2.602096181096299685e-02,4.895526833146307538e-05,4.874130992053003503e-05,1.159293720852889287e+00,1.159391417431141269e+00,2.263634230717415363e+01,2.253741044561051154e+01,0.000000000000000000e+00,0.000000000000000000e+00,-4.971604071720069081e-07
2.971619365609349188e+03,6.866714175567512068e-02,9.230501501235340023e-02,4.938231103546987697e+02,2.601938894976469144e-02,2.601938894976469144e-02,4.888647038128206735e-05,4.867340882775094264e-05,1.159261165505364621e+00,1.159358725384573852e+00,2.260453094134147278e+01,2.250601377612905907e+01,0.000000000000000000e+00,0.000000000000000000e+00,-4.972778258671043606e-07
2.979966611018363892e+03,6.866298973373502479e-02,9.228206537032580814e-02,4.938679029436726182e+02,2.601781566345882576e-02,2.601781566345882576e-02,4.881796236527327035e-05,4.860579141186158837e-05,1.159228593537239282e+00,1.159326017291016475e+00,2.257285363767191555e+01,2.247474827551664944e+01,0.000000000000000000e+00,0.000000000000000000e+00,-4.974122284235074613e-07
2.988313856427379051e+03,6.865883489823339236e-02,9.225905769940598300e-02,4.939127326646083134e+02,2.601624131103675783e-02,2.601624131103675783e-02,4.874974110702567302e-05,4.853845457226108723e-05,1.159196002246584367e+00,1.159293290442263702e+00,2.254130892743025427e+01,2.244361251009177494e+01,0.000000000000000000e+00,0.000000000000000000e+00,-4.977492930955566421e-07
2.996661101836394209e+03,6.865467611342934706e-02,9.223584453392802418e-02,4.939576117898857319e+02,2.601466546214298292e-02,2.601466546214298292e-02,4.868180421985759596e-05,4.847139598721553574e-05,1.159163397939647622e+00,1.159260551139854600e+00,2.250989570704285825e+01,2.241260540631189002e+01,0.000000000000000000e+00,0.000000000000000000e+00,-4.982224195246191309e-07
3.005008347245409368e+03,6.865051810180543279e-02,9.221273045435343652e-02,4.940024893665113837e+02,2.601308990622301642e-02,2.601308990622301642e-02,4.861414945771387033e-05,4.840461347324946721e-05,1.159130787627952852e+00,1.159227806390883853e+00,2.247861293796013626e+01,2.238172595456352809e+01,0.000000000000000000e+00,0.000000000000000000e+00,-4.981297925449216142e-07
3.013355592654424072e+03,6.864636138761533168e-02,9.218983729632213020e-02,4.940473597325602668e+02,2.601151484192733981e-02,2.601151484192733981e-02,4.854677723703477521e-05,4.833810747466927752e-05,1.159098162616606142e+00,1.159195047501317966e+00,2.244746081273919458e+01,2.235097436028875961e+01,0.000000000000000000e+00,0.000000000000000000e+00,-4.979743599741318174e-07
3.021702838063439231e+03,6.864219880458755085e-02,9.216676745992480324e-02,4.940923002582358095e+02,2.600993755380865552e-02,2.600993755380865552e-02,4.847968448431571144e-05,4.827187499038489469e-05,1.159065505261773987e+00,1.159162256821248738e+00,2.241643791022753263e+01,2.232034923581870700e+01,0.000000000000000000e+00,0.000000000000000000e+00,-4.986774467281355834e-07
3.030050083472454389e+03,6.863803594001126329e-02,9.214361274710257399e-02,4.941372506379835841e+02,2.600836015900545931e-02,2.600836015900545931e-02,4.841286852340484417e-05,4.820591341094788122e-05,1.159032852828203897e+00,1.159129471610138351e+00,2.238554299300390227e+01,2.228984937457499882e+01,0.000000000000000000e+00,0.000000000000000000e+00,-4.987111762392418896e-07
3.038397328881469093e+03,6.863387305896033463e-02,9.212073162645570412e-02,4.941822080117292444e+02,2.600678275795968372e-02,2.600678275795968372e-02,4.834632908637142201e-05,4.814022250389979579e-05,1.159000168945499398e+00,1.159096655497089623e+00,2.235477593718026412e+01,2.225947466907157590e+01,0.000000000000000000e+00,0.000000000000000000e+00,-4.987131499012723164e-07
3.046744574290484252e+03,6.862970618394553801e-02,9.209751124950406320e-02,4.942272153459949777e+02,2.600520384351905426e-02,2.600520384351905426e-02,4.828006265015775847e-05,4.807479882275481162e-05,1.158967486028027460e+00,1.159063840889500430e+00,2.232413511373604109e+01,2.222922352569378646e+01,0.000000000000000000e+00,0.000000000000000000e+00,-4.991916267726273835e-07
3.055091819699499410e+03,6.862553761229767124e-02,9.207444953720982095e-02,4.942722478422475092e+02,2.600362428618933561e-02,2.600362428618933561e-02,4.821406934817308771e-05,4.800964253050864428e-05,1.158934769853274149e+00,1.159030993565152823e+00,2.229362058435809146e+01,2.219909601980893754e+01,0.000000000000000000e+00,0.000000000000000000e+00,-4.993948834144310975e-07
3.063439065108514114e+03,6.862137209387854375e-02,9.205159346407577881e-02,4.943172541865093876e+02,2.600204588579063669e-02,2.600204588579063669e-02,4.814834602081781363e-05,4.794475053856930987e-05,1.158902055488965299e+00,1.158998148585524746e+00,2.226323088808459971e+01,2.216909072328829566e+01,0.000000000000000000e+00,0.000000000000000000e+00,-4.990291066114924890e-07
3.071786310517529273e+03,6.861719880642019875e-02,9.202829941440077155e-02,4.943623513210393980e+02,2.600046454154357131e-02,2.600046454154357131e-02,4.808288822801024497e-05,4.788011849337960046e-05,1.158869320795455904e+00,1.158965283802177337e+00,2.223296397187382922e+01,2.213920562309803231e+01,0.000000000000000000e+00,0.000000000000000000e+00,-4.999598375097228043e-07
3.080133555926544432e+03,6.861302500060174892e-02,9.200515967249740801e-02,4.944074609158429894e+02,2.599888300087922419e-02,2.599888300087922419e-02,4.801769667959672087e-05,4.781574712581556231e-05,1.158836563268294428e+00,1.158932396712099688e+00,2.220282016395040614e+01,2.210944105718666464e+01,0.000000000000000000e+00,0.000000000000000000e+00,-5.000219370502826671e-07
